X,Y,name,amenity,shop,tourism,ele,cuisine,addr:housenumber,addr:street,addr:city,addr:postcode,religion,addr:state,leisure,denomination,website,opening_hours,operator,phone,brand,brand:wikidata,brand:wikipedia,historic,wheelchair,description,fee,man_made,capacity,name:en,outdoor_seating,wikidata,uuid,access,addr:unit,takeaway,smoking
-111.8630173,40.804914,10,,,picnic_site,,,,,,,,,,,,,Salt Lake City,,,,,,,,,,,,,,,,,,
-111.913202,40.6223123,1000 Degrees Neapolitan Pizza,restaurant,,,,pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.8766131,40.767402,100S 500E Station,bicycle_rental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.8908945,40.7673641,100 S Main Street Station,bicycle_rental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.8913042,40.7662345,136 South Main Street Station,bicycle_rental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.884632,40.778058,145th Field Artillery Memorial,,,,,,,,,,,,,,,,,,,,,memorial,,,,,,,,,,,,,
-109.5536831,38.5734744,155 W center street,,,guest_house,,,155,West Center Street,,84532,,,,,,,,18559109933,,,,,,,,,,,,,,,,,
-111.8477228,40.7365873,15th Street Gallery,,,gallery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.8866182,40.7630585,160 East 300 South,bicycle_rental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.8360638,40.8131894,17,,,picnic_site,,,,,,,,,,,,,Salt Lake City,,,,,,,,,,,,,,,,,,
-112.0249403,41.1578192,1851 AD,,antiques,,,,,,,,,,,,,,,,,,,,,Online only,,,,,,,,,,,
-111.8799141,40.7653114,190 South 400 East,bicycle_rental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-113.4876967,37.1174166,1930s Los Angeles to Salt Lake City Airway Beacon Remains,,,,,,,,,,,,,,,,,,,,,ruins,,,,,,,,,,,,,
-111.888794,40.65576,1st Choice,,car_repair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.8666041,40.6203539,1st Choice Money Center,,money_lender,,,,7210 S,900 East,Midvale,84047,,UT,,,https://www.1stchoicemoney.com/LocationsMidvale.html,"Mo-Fr 10:00-19:00; Sa 10:00-16:00",,+1-801-565-7919,,,,,,,,,,,,,,,,,
-111.992045,41.0824384,1st Choice Money Lender,,money_lender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.859494,40.723634,1World Gifts,,gift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.885169,40.765153,200S 200E Station,bicycle_rental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.8884168,40.7651563,200 S State Street Station,bicycle_rental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-112.9486436,37.3005625,200' Waterfall,,,attraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.9534034,40.8018535,2200 W @ 1490 N,shelter,,,,,,,,,,,,,,,UTA,,,,,,,,,,,,,,,,,,
-113.6390627,37.1473144,2252 maison St George,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.8087399,40.8215144,23,,,picnic_site,,,,,,,,,,,,,Salt Lake City,,,,,,,,,,,,,,,,,,
-109.6545364,37.5069326,235 Camp,,,camp_site,,,,,,,,,firepit,,,,,,,,,,,,,,,,,,,,,,
-111.823105,40.668867,23rd Street,,hairdresser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.8507617,40.5629587,24 Hour Fitness,,,,,,,,,,,,sports_centre,,,,,,,,,,,,,,,,,,,,,,
-111.9442643,40.6463761,24 Hour Fitness,,,,,,,,,,,,sports_centre,,,,,,,,,,,,,,,,,,,,,,
-111.8706713,40.7580778,24 Hour Fitness,,,,,,,,,,,,sports_centre,,,,,,,,,,,,,,,,,,,,,,
-111.8970002,40.7639237,250 S 200 W,bicycle_rental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.858589,40.771521,2nd Avenue Laundry,,laundry,,,,1030,2nd Avenue,Salt Lake City,84103,,,,,,,,,,,,,,,,,,,,,,,,,
-111.8769509,40.7630591,300S 500E Station,bicycle_rental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.8828709,40.7629614,300 South 300 East,bicycle_rental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.9015453,40.765134,348 West 200 South,bicycle_rental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.4951916,40.6427711,350 Brasserie,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-113.5960628,37.1137395,3 Amigos Market,,supermarket,,,,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.6582185,40.2985053,3b Yoga,,,,,,4801,North University Avenue,Provo,84604,,UT,fitness_centre,,,,,,,,,,,,,,,,,,,,530,,
-111.8247874,40.6686072,3 Cups,cafe,,,,coffee_shop,4670 South,4670 S 2300 E,Holladay,84117,,UT,,,https://www.3cups.coffee/,"Mo-Fr 06:00-20:00; Sa 06:00-21:00; Su 07:00-18:00",,385-237-3091,,,,,,,,,,,,,,,,,outside
-109.0827872,38.0940673,3 Step Hideaway,,,camp_site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-109.0827711,38.0941601,3 Step Hideaway,,,guest_house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.889656,40.7629257,40 E 300 S Station,bicycle_rental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.9037728,40.7670822,450W 100S Station @ Gateway,bicycle_rental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-109.3692413,38.7159037,4 Bars of ATT 4G near Onion Creek!,,,viewpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-113.5438879,37.1204074,4 Seasons Auto Sales,,car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.4962854,40.6442181,501 on Main,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.0079608,37.263539,50 mile Spring Cabin,,,attraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.8927216,40.7630087,50 W 300 South,bicycle_rental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.8930779,40.7631295,50 West Club & Cafe,bar,,,,,50,West Broadway,,,,,,,,,,,,,,,,,,,,50 West Club & Cafe,,,,,,,
-111.8715038,40.758126,510 S 700 E,bicycle_rental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-113.0854951,37.6531628,5 Buck Pizza,restaurant,,,,pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-112.3239975,38.9806918,5 Buck Pizza,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.6917312,40.295397,5 Buck Pizza,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.97289,41.0832892,5th Avenue Tuxedos,,clothes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.8957067,40.7589889,5th Street Grill,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.9088133,40.7713221,640 West North Temple,bicycle_rental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-109.5271162,40.4559319,7-11 Ranch Restaurant,restaurant,,,,american,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.876511,40.725792,7Eleven,,general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-112.0291215,41.1614764,7 Eleven,fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-112.0256164,41.1832607,7 Eleven,fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-112.0231564,41.3062931,7 Eleven,fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-112.0231188,41.3059647,7 Eleven,,convenience,,,,2829,West 2700 North,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.759307,40.0319668,7 Eleven,,convenience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.8903283,40.5761271,7 Eleven,,convenience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.853212,40.7645121,7 Eleven,,convenience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.8818211,40.7668435,7 Eleven,,convenience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-112.0292354,41.1612803,7 Eleven,,convenience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-112.0252733,41.1832487,7 Eleven,,convenience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-109.4985105,40.4196513,7-Eleven,fuel,convenience,,,,2500,Hwy 40,Naples,84078,,UT,,,,,,(435) 789-5452,,,,,,,,,,,,,,,,,
-111.8287475,40.5807451,7-Eleven,fuel,convenience,,,,,,,,,,,,,,,,7-Eleven,Q259340,en:7-Eleven,,,,,,,,,,,,,,
-112.0650525,41.1610732,7-Eleven,fuel,convenience,,,,,,,,,,,,,,,,7-Eleven,Q259340,en:7-Eleven,,,,,,,,,,,,,,
-111.7401918,40.3546943,7-Eleven,fuel,convenience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.8528087,40.5947857,7-Eleven,fuel,convenience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.9243515,40.7402268,7-Eleven,fuel,convenience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.8879673,40.6666162,7-Eleven,fuel,,,,,,,,,,,,,,,,,7-Eleven,Q259340,en:7-Eleven,,,,,,,,,,,,,,
-111.8353065,41.7395236,7-Eleven,fuel,,,,,,,,,,,,,,,,,7-Eleven,Q259340,en:7-Eleven,,,,,,,,,,,,,,
-112.0649325,41.1402593,7-Eleven,fuel,,,,,,,,,,,,,,,,,7-Eleven,Q259340,en:7-Eleven,,,,,,,,,,,,,,
-111.8951884,40.4309232,7-Eleven,fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.8250323,40.6237212,7-Eleven,fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.8247816,40.7000341,7-Eleven,fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.8709177,40.6995917,7-Eleven,fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.8943369,40.7515578,7-Eleven,fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.9395346,40.7974279,7-Eleven,fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-112.0911785,40.7109318,7-Eleven,fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-112.0263568,41.1396684,7-Eleven,fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.822337,40.666018,7-Eleven,,convenience,,1360,,4750,Holladay Boulevard,Holladay,,,,,mormon,,,,,,,,,,,,,,,,,,,,,
-109.5185661,40.4562812,7-Eleven,,convenience,,,,501,East Main Street,Vernal,84078,,UT,,,,,,(435) 789-6478,,,,,,,,,,,,,,,,,
-111.8658778,40.6746837,7-Eleven,,convenience,,,,,895 E 4500 S,,,,,,,https://www.7-eleven.com/,,,,,,,,,,,,,,,,,,,,
-111.4140317,40.5107396,7-Eleven,,convenience,,,,,,,,,,,,,,7-Eleven,,,,,,,,,,,,,,,,,,
-111.8205603,39.7094988,7-Eleven,,convenience,,,,,,,,,,,,,,,,7-Eleven,Q259340,en:7-Eleven,,,,,,,,,,,,,,
-111.8287101,40.5809693,7-Eleven,,convenience,,,,,,,,,,,,,,,,7-Eleven,Q259340,en:7-Eleven,,,,,,,,,,,,,,
-111.8715008,40.5877136,7-Eleven,,convenience,,,,,,,,,,,,,,,,7-Eleven,Q259340,en:7-Eleven,,,,,,,,,,,,,,
-111.8923941,40.620899,7-Eleven,,convenience,,,,,,,,,,,,,,,,7-Eleven,Q259340,en:7-Eleven,,,,,,,,,,,,,,
-111.9298561,40.623625,7-Eleven,,convenience,,,,,,,,,,,,,,,,7-Eleven,Q259340,en:7-Eleven,,,,,,,,,,,,,,
-111.8904501,40.6266578,7-Eleven,,convenience,,,,,,,,,,,,,,,,7-Eleven,Q259340,en:7-Eleven,,,,,,,,,,,,,,
-111.8876684,40.6665781,7-Eleven,,convenience,,,,,,,,,,,,,,,,7-Eleven,Q259340,en:7-Eleven,,,,,,,,,,,,,,
-111.83505,41.757214,7-Eleven,,convenience,,,,,,,,,,,,,,,,7-Eleven,Q259340,en:7-Eleven,,,,,,,,,,,,,,
-112.2989826,40.5501601,7-Eleven,,convenience,,,,,,,,,,,,,,,,7-Eleven,Q259340,en:7-Eleven,,,,,,,,,,,,,,
-109.8599353,37.1490378,7-Eleven,,convenience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-112.5137098,37.0431879,7-Eleven,,convenience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-113.3106392,37.1768742,7-Eleven,,convenience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-109.5460451,40.4542389,7-Eleven,,convenience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-111.8949731,40.4306889,7-Eleven,,convenience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
